Box		LastName	FirstName
R0016	19	M47268	R03635
R0016	20	M47491	R03636
R0016	21	M47343	R03637
R0016	22	M48903	R03775
R0016	23	M38954	R03772
R0016	24	M47396	R03773
R0016	25	M38792	R03774
R0016	26	M47431	R03984
R0016	27	M47422	R03985
R0016	28	M47218	R03986
R0016	29	M48893	R03915
R0016	30	M47473	R04103
R0016	31	M48485	R03776
R0016	32	M47177	R03918
R0016	33	M47345	R03777
R0016	34	M47198	R03917
R0016	35	M47931	R03920
R0016	36	M47220	R03916
R0016	37	M51379	R03919
R0016	38	M47730	R03987
R0016	39	M47337	R03638
R0016	40	M47190	R03809
R0016	41	M47674	R03640
R0016	42	M48547	R03639
R0016	43	M47160	R03810
R0016	44	M38905	R03543
R0016	45	M47327	R03811
R0016	46	M47420	R03921
R0016	47	M47704	R03922
R0016	48	M48271	R03923
R0016	49	M48904	R03780
R0016	50	M47187	R03778

		R0017	

R0017	1	M48768	R03646
R0017	2	M47171	R03990
R0017	3	M48383	R03989
R0017	4	M47335	R03779
R0017	5	M47462	R03781
R0017	6	M47859	R03988
R0017	7	M47427	R03645
R0017	8	M48500	R03642
R0017	9	M38763	R03644
R0017	10	M47319	R03647
R0017	11	M47253	R03924
R0017	12	M48097	R03928
R0017	13	M47644	R03926
R0017	14	M47333	R03925
R0017	15	M47385	R03650
R0017	16	M47162	R03991
R0017	17	M48312	R03929
R0017	18	M52656	R03651
R0017	19	M38088	R03992
R0017	20	M47188	R03813
R0017	21	M48027	R03927
R0017	22	M47356	R03993
R0017	23	M47826	R03812
R0017	24	M48581	R03785
R0017	25	M47176	R03814
R0017	26	M52430	R03784
R0017	27	M38965	R03783
R0017	28	M48609	R03649
R0017	29	M48135	R03545
R0017	30	M47419	R03782
R0017	31	M48275	R03934
R0017	32	M47424	R03935
R0017	33	M51420	R03817
R0017	34	M48015	R03930
R0017	35	M48403	R03931
R0017	36	M48430	R03932
R0017	37	M47465	R03815
R0017	38	M48003	R03933
R0017	39	M48389	R03652
R0017	40	M47237	R03994
R0017	41	M47976	R03816
R0017	42	M47289	R04133
R0017	43	M47979	R04134
R0017	44	M47907	R04135
R0017	45	M47264	R04136
R0017	46	M47575	R04138
R0017	47	M47278	R04137
R0017	48	M47254	R03787
R0017	49	M48093	R03786
R0017	50	M47832	R03547

		R0018	

R0018	1	M47884	R03936
R0018	2	M48273	R03546
R0018	3	M47288	R03937
R0018	4	M48398	R03997
R0018	5	M47714	R03943
R0018	6	M47571	R03941
R0018	7	M47153	R03940
R0018	8	M47775	R03939
R0018	9	M47402	R03938
R0018	10	M47213	R03789
R0018	11	M47929	R03788
R0018	12	M47350	R04142
R0018	13	M48313	R04139
R0018	14	M47259	R04143
R0018	15	M47516	R04144
R0018	16	M47905	R04140
R0018	17	M47310	R04145
R0018	18	M52653	R04104
R0018	19	M47946	R03820
R0018	20	M48424	R03548
R0018	21	M47415	R04141
R0018	22	M47846	R03942
R0018	23	M47210	R03819
R0018	24	M47108	R03821
R0018	25	M47143	R03549
R0018	26	M47539	R04198
R0018	27	M47063	R04197
R0018	28	M47106	R04196
R0018	29	M47140	R04195
R0018	30	M47443	R04194
R0018	31	M47737	R04193
R0018	32	M47142	R03944
R0018	33	M36972	R04289
R0018	34	M47095	R04149
R0018	35	M47470	R04148
R0018	36	M47168	R04147
R0018	37	M47131	R04146
R0018	38	M52651	R04113
R0018	39	M47626	R03791
R0018	40	M47476	R03790
R0018	41	M47118	R03792
R0018	42	M47080	R04116
R0018	43	M47913	R04117
R0018	44	M45197	R03951
R0018	45	M47897	R04115
R0018	46	M47138	R03550
R0018	47	M47486	R03822
R0018	48	M45187	R03950
R0018	49	M47046	R03946
R0018	50	M45192	R03551

		R0019	

R0019	1	M46983	R04114
R0019	2	M47418	R03948
R0019	3	M47705	R03947
R0019	4	M47144	R03945
R0019	5	M46786	R04150
R0019	6	M47099	R04003
R0019	7	M46770	R04001
R0019	8	M47981	R04151
R0019	9	M47941	R04002
R0019	10	M46378	R04153
R0019	11	M45180	R04152
R0019	12	M47115	R04166
R0019	13	M47050	R04232
R0019	14	M39607	R04231
R0019	15	M48326	R04222
R0019	16	M39099	R04221
R0019	17	M44769	R04223
R0019	18	M48279	R04224
R0019	19	M39550	R04226
R0019	20	M47064	R04225
R0019	21	M48142	R04228
R0019	22	M45177	R04227
R0019	23	M40011	R04230
R0019	24	M32549	R04229
R0019	25	M32548	R03841
R0019	26	M47249	R03840
R0019	27	M48077	R04233
R0019	28	M45140	R04015
R0019	29	M39612	R04013
R0019	30	M40789	R04014
R0019	31	M47925	R04121
R0019	32	M46755	R04122
R0019	33	M44832	R04293
R0019	34	M43049	R04061
R0019	35	M44831	R04063
R0019	36	M39141	R04234
R0019	37	M46929	R04235
R0019	38	M38757	R04236
R0019	39	M38773	R04017
R0019	40	M38789	R04016
R0019	41	M39041	R04295
R0019	42	M42341	R04240
R0019	43	M45133	R04171
R0019	44	M42332	R04238
R0019	45	M44856	R04239
R0019	46	M38707	R04169
R0019	47	M52705	R04172
R0019	48	M47034	R04054
R0019	49	M47042	R03826
R0019	50	M36882	R05074

		R0020	

R0020	1	M47020	R03824
R0020	2	M47068	R04119
R0020	3	M47060	R04163
R0020	4	M39168	R04168
R0020	5	M46373	R04118
R0020	6	M58798	R04791
R0020	7	M47834	R04120
R0020	8	M45137	R04008
R0020	9	M46364	R04105
R0020	10	M47506	R04057
R0020	11	M45179	R04215
R0020	12	M47991	R04216
R0020	13	M47563	R04059
R0020	14	M47939	R04058
R0020	15	M47866	R04213
R0020	16	M46693	R04154
R0020	17	M47119	R04055
R0020	18	M47801	R04162
R0020	19	M45136	R04159
R0020	20	M46737	R04053
R0020	21	M47421	R04200
R0020	22	M47306	R03823
R0020	23	M48613	R04199
R0020	24	M46363	R03552
R0020	25	M46961	R04205
R0020	26	M48254	R03829
R0020	27	M42984	R04007
R0020	28	M47853	R04004
R0020	29	M45184	R03828
R0020	30	M46765	R04156
R0020	31	M47699	R04005
R0020	32	M40468	R04006
R0020	33	M47065	R04164
R0020	34	M47079	R04204
R0020	35	M44833	R04165
R0020	36	M48308	R04157
